Tail Length (cm),Mass (kg)
18.1,3.75
18.6,3.8
19.5,3.25
19.3,3.45
19,3.65
18.1,3.625
19.5,4.675
19.3,3.475
19,4.25
18.6,3.3
18,3.7
18.2,3.2
19.1,3.8
19.8,4.4
18.5,3.7
19.5,3.45
19.7,4.5
18.4,3.325
19.4,4.2
17.4,3.4
18,3.6
18.9,3.8
18.5,3.95
18,3.8
18.7,3.8
18.3,3.55
18.7,3.2
17.2,3.15
18,3.95
17.8,3.25
17.8,3.9
18.8,3.3
18.4,3.9
19.5,3.325
19.6,4.15
19,3.95
18,3.55
18.1,3.3
18.4,4.65
18.2,3.15
19.5,3.9
18.6,3.1
19.6,4.4
18.5,3
19,4.6
18.2,3.425
17.9,2.975
19,3.45
19.1,4.15
18.6,3.5
18.8,4.3
19,3.45
20,4.05
18.7,2.9
19.1,3.7
18.6,3.55
19.3,3.8
18.1,2.85
19.4,3.75
18.5,3.15
19.5,4.4
18.5,3.6
19.2,4.05
18.4,2.85
19.2,3.95
19.5,3.35
18.8,4.1
19,3.05
19.8,4.45
19,3.6
19,3.9
19.6,3.55
19.7,4.15
19,3.7
19.5,4.25
19.1,3.7
18.4,3.9
18.7,3.55
19.5,4
18.9,3.2
19.6,4.7
18.7,3.8
19.3,4.2
19.1,3.35
19.4,3.55
19,3.8
18.9,3.5
18.9,3.95
19,3.6
20.2,3.55
20.5,4.3
18.5,3.4
18.6,4.45
18.7,3.3
20.8,4.3
19,3.7
19.6,4.35
17.8,2.9
19.2,4.1
19.2,3.725
20.3,4.725
18.3,3.075
19,4.25
19.3,2.925
18.4,3.55
19.9,3.75
19,3.9
18.1,3.175
19.7,4.775
19.8,3.825
19.1,4.6
19.3,3.2
19.7,4.275
19.1,3.9
19.6,4.075
18.8,2.9
19.9,3.775
18.9,3.35
18.9,3.325
18.7,3.15
19.8,3.5
17.6,3.45
20.2,3.875
18.6,3.05
19.9,4
19.1,3.275
19.5,4.3
19.1,3.05
21,4
19,3.325
19.7,3.5
19.3,3.5
19.9,4.475
18.7,3.425
19,3.9
19.1,3.175
20,3.975
18.5,3.4
19.3,4.25
19.3,3.4
18.7,3.475
18.8,3.05
19,3.725
19.2,3
18.5,3.65
19,4.25
18.4,3.475
19.5,3.45
19.3,3.75
18.7,3.7
20.1,4
21.1,4.5
23,5.7
21,4.45
21.8,5.7
21.5,5.4
21,4.55
21.1,4.8
21.9,5.2
20.9,4.4
21.5,5.15
21.4,4.65
21.6,5.55
21.4,4.65
21.3,5.85
21,4.2
21.7,5.85
21,4.15
22.1,6.3
20.9,4.8
22.2,5.35
21.8,5.7
21.5,5
21.3,4.4
21.5,5.05
21.5,5
21.5,5.1
21.6,4.1
21.5,5.65
21,4.6
22,5.55
22.2,5.25
20.9,4.7
20.7,5.05
23,6.05
22,5.15
22,5.4
21.3,4.95
21.9,5.25
20.8,4.35
20.8,5.35
20.8,3.95
22.5,5.7
21,4.3
21.6,4.75
22.2,5.55
21.7,4.9
21,4.2
22.5,5.4
21.3,5.1
21.5,5.3
21,4.85
22,5.3
21,4.4
22.5,5
21.7,4.9
22,5.05
20.8,4.3
22,5
20.8,4.45
22.4,5.55
20.8,4.2
22.1,5.3
21.4,4.4
23.1,5.65
21.9,4.7
23,5.7
21.4,4.65
22.9,5.8
22,4.7
22.3,5.55
21.6,4.75
22.1,5
22.1,5.1
21.7,5.2
21.6,4.7
23,5.8
20.9,4.6
22,6
21.5,4.75
22.3,5.95
21.2,4.625
22.1,5.45
21.2,4.725
22.4,5.35
21.2,4.75
22.8,5.6
21.8,4.6
21.8,5.3
21.2,4.875
23,5.55
21.8,4.95
22.8,5.4
21.2,4.75
22.4,5.65
21.4,4.85
22.6,5.2
21.6,4.925
22.2,4.875
20.3,4.625
22.5,5.25
21.9,4.85
22.8,5.6
21.5,4.975
22.8,5.5
21.6,4.725
21.5,5.5
21,4.7
21.9,5.5
20.8,4.575
20.9,5.5
21.6,5
22.9,5.95
21.3,4.65
23,5.5
21.7,4.375
23,5.85
21.7,4.875
22.2,6
21.4,4.925
21.5,4.85
22.2,5.75
21.2,5.2
21.3,5.4
19.2,3.5
19.6,3.9
19.3,3.65
18.8,3.525
19.7,3.725
19.8,3.95
17.8,3.25
19.7,3.75
19.5,4.15
19.8,3.7
19.3,3.8
19.4,3.775
18.5,3.7
20.1,4.05
19,3.575
20.1,4.05
19.7,3.3
18.1,3.7
19,3.45
19.5,4.4
18.1,3.6
19.1,3.4
18.7,2.9
19.3,3.8
19.5,3.3
19.7,4.15
20,3.4
20,3.8
19.1,3.7
20.5,4.55
18.7,3.2
20.1,4.3
18.7,3.35
20.3,4.1
19.5,3.6
19.9,3.9
19.5,3.85
21,4.8
19.2,2.7
20.5,4.5
21,3.95
18.7,3.65
19.6,3.55
19.6,3.5
19.6,3.675
20.1,4.45
19,3.4
21.2,4.3
18.7,3.25
19.8,3.675
19.9,3.325
20.1,3.95
19.3,3.6
20.3,4.05
18.7,3.35
19.7,3.45
19.1,3.25
20.3,4.05
20.2,3.8
19.4,3.525
20.6,3.95
18.9,3.65
19.5,3.65
20.7,4
20.2,3.4
19.3,3.775
21,4.1
19.8,3.775
